,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
Rk,Player,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
418,Oriol Romeu,MF,Southampton,29,1991,32.1,67,2.09,63,0,1,1,0,2,4,0.12,4,0,0,0,0,0,Matches
419,Cristiano Ronaldo,FW,Manchester Utd,36,1985,27.3,76,2.79,56,0,9,5,5,1,9,0.33,4,0,2,1,2,0,Matches
420,Salomón Rondón,FW,Everton,31,1989,8.8,17,1.94,13,0,1,2,0,1,1,0.11,1,0,0,0,0,0,Matches
421,Danny Rose,DF,Watford,31,1990,7.7,11,1.44,10,1,0,0,0,0,1,0.13,0,1,0,0,0,0,Matches
422,Jon Rowe,FWMF,Norwich City,18,2003,2.5,6,2.42,5,1,0,0,0,0,1,0.4,1,0,0,0,0,0,Matches
423,John Ruddy,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
424,Antonio Rüdiger,DF,Chelsea,28,1993,33.7,39,1.16,34,0,1,2,2,0,8,0.24,5,0,0,1,2,0,Matches
425,Lukas Rupp,MF,Norwich City,30,1991,8.5,27,3.16,22,0,3,1,1,0,0,0,0,0,0,0,0,0,Matches
426,José Sá,GK,Wolves,28,1993,36.5,4,0.11,3,1,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
427,Allan Saint-Maximin,FWMF,Newcastle Utd,24,1997,31.2,114,3.66,74,2,23,5,7,3,9,0.29,7,0,0,1,1,0,Matches
428,Romain Saïss,DF,Wolves,31,1990,30.1,15,0.5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
429,Bukayo Saka,FWMF,Arsenal,19,2001,33.1,142,4.29,94,18,12,7,10,1,16,0.48,8,4,0,1,3,0,Matches
430,Mohamed Salah,FW,Liverpool,29,1992,30.7,133,4.33,93,0,21,15,3,1,25,0.81,17,0,5,2,1,0,Matches
431,Mohammed Salisu,DF,Southampton,22,1999,33,27,0.82,21,1,0,3,0,2,3,0.09,3,0,0,0,0,0,Matches
432,Albert Sambi Lokonga,MF,Arsenal,21,1999,12.6,34,2.7,32,0,0,0,1,1,0,0,0,0,0,0,0,0,Matches
433,Davinson Sánchez,DF,Tottenham,25,1996,18.1,16,0.88,15,0,0,1,0,0,1,0.06,1,0,0,0,0,0,Matches
434,Robert Sánchez,GK,Brighton,23,1997,37,4,0.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Jadon Sancho,FWMF,Manchester Utd,21,2000,21.1,82,3.88,67,3,9,2,1,0,8,0.38,6,0,2,0,0,0,Matches
436,Morgan Sanson,MF,Aston Villa,26,1994,4,3,0.76,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
437,Samir Santos,DF,Watford,26,1994,18.6,4,0.22,3,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
438,Josh Sargent,FWMF,Norwich City,21,2000,17.5,26,1.49,18,0,1,3,4,0,2,0.11,1,0,1,0,0,0,Matches
439,Jeremy Sarmiento,FWMF,Brighton,19,2002,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Ismaila Sarr,FWMF,Watford,23,1998,20.7,44,2.13,34,0,4,0,4,2,3,0.15,3,0,0,0,0,0,Matches
441,Malang Sarr,DF,Chelsea,22,1999,6.1,7,1.15,7,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
442,Dane Scarlett,MF,Tottenham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
443,Fabian Schär,DF,Newcastle Utd,29,1991,24,24,1,16,3,2,2,1,0,4,0.17,3,0,1,0,0,0,Matches
444,Jeffrey Schlupp,MFFW,Crystal Palace,28,1992,20.6,41,1.99,31,0,4,3,3,0,5,0.24,2,0,1,0,2,0,Matches
445,Kasper Schmeichel,GK,Leicester City,34,1986,37,5,0.14,5,0,0,0,0,0,2,0.05,2,0,0,0,0,0,Matches
446,Ken Sema,MFFW,Watford,27,1993,9.5,20,2.11,8,7,1,0,3,1,0,0,0,0,0,0,0,0,Matches
447,Nélson Semedo,DF,Wolves,27,1993,23.7,37,1.56,29,0,4,2,2,0,1,0.04,1,0,0,0,0,0,Matches
448,Ryan Sessegnon,DF,Tottenham,21,2000,11.6,21,1.81,19,1,1,0,0,0,4,0.34,4,0,0,0,0,0,Matches
449,Jamie Shackleton,DFMF,Leeds United,21,1999,7.9,8,1.02,6,1,0,1,0,0,1,0.13,0,0,0,1,0,0,Matches
450,Luke Shaw,DF,Manchester Utd,26,1995,17.8,64,3.6,41,21,0,0,0,2,6,0.34,5,1,0,0,0,0,Matches
451,Jonjo Shelvey,MF,Newcastle Utd,29,1992,22,42,1.91,30,8,1,0,0,3,2,0.09,1,0,0,0,0,1,Matches
452,Shola Shoretire,FW,Manchester Utd,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
453,Francisco Sierralta,DF,Watford,24,1997,4.7,1,0.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
454,Bernardo Silva,MFFW,Manchester City,26,1994,31.7,127,4,100,3,11,7,6,0,13,0.41,10,1,0,1,1,0,Matches
455,Fábio Silva,FW,Wolves,19,2002,6.4,16,2.52,9,0,3,3,0,1,1,0.16,0,0,0,1,0,0,Matches
456,Thiago Silva,DF,Chelsea,36,1984,29.4,26,0.88,21,0,0,3,1,1,1,0.03,0,0,0,0,1,0,Matches
457,Ellis Simms,FW,Everton,20,2001,0.7,1,1.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
458,Moussa Sissoko,MF,Watford,31,1989,35.8,62,1.73,52,0,4,2,1,3,4,0.11,2,0,1,0,0,1,Matches
459,Oliver Skipp,MF,Tottenham,20,2000,15,22,1.47,21,0,0,0,1,0,3,0.2,3,0,0,0,0,0,Matches
460,William Smallbone,MFFW,Southampton,21,2000,1.5,1,0.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
