Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
106,Diogo Dalot,DF,Manchester Utd,22,1999,24,19,1801,20,0,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1,1.7,0.03,0.05,0.08,0.03,0.08,Matches
107,Karl Darlow,GK,Newcastle Utd,30,1990,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
108,Josh Dasilva,MFFW,Brentford,22,1998,9,2,257,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.2,0.02,0.04,0.05,0.02,0.05,Matches
109,Ben Davies,DF,Tottenham,28,1993,29,28,2538,28.2,1,1,1,0,0,6,0,0.04,0.04,0.07,0.04,0.07,1.8,1.8,0.6,2.3,0.06,0.02,0.08,0.06,0.08,Matches
110,Tom Davies,MF,Everton,23,1998,6,2,234,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.9,0.9,0,0.9,0.35,0,0.35,0.35,0.35,Matches
111,Keinan Davis,FW,Aston Villa,23,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Craig Dawson,DF,West Ham,31,1990,34,30,2754,30.6,2,2,2,0,0,5,1,0.07,0.07,0.13,0.07,0.13,2.9,2.9,0.5,3.3,0.09,0.01,0.11,0.09,0.11,Matches
113,Kevin De Bruyne,MF,Manchester City,30,1991,30,25,2201,24.5,15,8,15,0,0,2,0,0.61,0.33,0.94,0.61,0.94,6.4,6.4,9.5,15.9,0.26,0.39,0.65,0.26,0.65,Matches
114,Troy Deeney,FW,Watford,33,1988,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,Matches
115,Liam Delap,FW,Manchester City,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
